"TRADE_NAME","TRADE_NAME_RECORD_ID","RECORD_ID"
SPIVEY STATE BANK - A DIVISION OF PERSONS BANKING COMPANY,"5,555,123,837","1,324,843,485"
BANK OF LEWIS,"5,555,123,838","1,324,844,066"
LISBON BANKING CENTER,"5,555,123,839","1,324,844,302"
BARTONVILLE COMMUNITY BANK,"5,555,123,840","1,324,844,674"
BANK OF MCLOUTH,"5,555,123,841","1,324,844,836"
HARDIN BANK,"5,555,123,842","1,324,847,911"
COBIZ PRIVATE BANK,"5,555,123,843","1,324,848,154"
PUREPOINT FINANCIAL,"5,555,123,844","1,324,848,264"
AMERICAN NATIONAL BANK OF TEXAS,"5,555,123,845","1,324,848,770"
BOFA,"5,555,123,846","1,324,849,726"
MIDSOUTH BANK,"5,555,123,847","1,324,850,027"
FLINT HILLS BANK D/B/A BANK OF BURLINGAME,"5,555,123,848","1,324,850,217"
"TEXAS FINANCIAL BANK, DBA EDEN STATE BANK","5,555,123,849","1,324,850,593"
FIRST BANK CAMBRIDGE CITY,"5,555,123,850","1,324,852,253"
BANK OF SHERIDAN,"5,555,123,851","1,324,853,397"
FIRST SECURITY BANK BOZEMAN,"5,555,123,852","1,324,854,456"
WEST POINT FINANCIAL CENTER,"5,555,123,853","1,324,855,835"
DARIEN BANK AND TRUST,"5,555,123,854","1,324,858,108"
SOUTH COUNTY BANK,"5,555,123,855","1,324,858,255"
"PARAGONBANK, A DIVISION OF TOWNEBANK","5,555,123,856","1,324,858,274"
BRIDGE BANK,"5,555,123,857","1,324,858,909"
CHASE PRIVATE CLIENT,"5,555,123,858","1,324,832,793"
"BANK OF MACON, A DIVISION OF BANK OF KIRKSVILLE","5,555,123,859","1,324,833,447"
BANK OF POWELL,"5,555,123,860","1,324,833,849"
NEVADA STATE BANK,"5,555,123,861","1,324,833,880"
BRAZOS COUNTY BANK,"5,555,123,862","1,324,834,484"
BOFAML,"5,555,123,863","1,324,834,611"
"1ST CENTURY BANK","5,555,123,864","1,324,835,009"
MOBANK,"5,555,123,865","1,324,835,137"
YNB PEOPLES,"5,555,123,866","1,324,835,150"
FIRST NATIONAL BANK OF SULPHUR,"5,555,123,867","1,324,835,180"
FIRST NATIONAL BANK NORTH PLATTE,"5,555,123,868","1,324,836,061"
GONZALES NATIONAL BANK,"5,555,123,869","1,324,836,127"
RICHLAND BANK/NEWDOMINION BANK,"5,555,123,870","1,324,836,826"
"CBT BANK, AN OPERATING DIVISION OF RIVERVIEW BANK","5,555,123,871","1,324,837,294"
THE BANK OF COLLIERVILLE,"5,555,123,872","1,324,838,965"
STATE BANK MATSHFIELD,"5,555,123,873","1,324,839,017"
FIRST STATE BANK OF DELTA AN OFFICE OF FIRST STATE BANK OF COLORADO,"5,555,123,874","1,324,840,231"
GARDEN STATE COMMUNITY BANK,"5,555,123,875","1,324,842,607"
MBT TOO,"5,555,123,876","1,324,842,843"
LITTLETON BANKING CENTER,"5,555,123,877","1,324,844,302"
FAIRBURY-CROPSEY COMMUNITY BANK,"5,555,123,878","1,324,844,674"
BANK OF OSKALOOSA,"5,555,123,879","1,324,844,836"
BARBERS HILL BANK - HEB,"5,555,123,880","1,324,847,911"
BOFAML,"5,555,123,881","1,324,849,726"
FIRST BANK SHELBYVILLE,"5,555,123,882","1,324,852,253"
WESTERN SECURITY BANK,"5,555,123,883","1,324,854,456"
NORWALK BANK AND TRUST,"5,555,123,884","1,324,858,108"
FIRST INDEPENDENT BANK,"5,555,123,885","1,324,858,909"
J.P.MORGAN PRIVATE BANK,"5,555,123,886","1,324,832,793"
"BANK OF MOBERLY, A DIVISION OF BANK OF KIRKSVILLE","5,555,123,887","1,324,833,447"
BANK OF BUTTE,"5,555,123,888","1,324,833,849"
THE COMMERCE BANK OF WASHINGTON,"5,555,123,889","1,324,833,880"
MERRILL,"5,555,123,890","1,324,834,611"
VIO BANK,"5,555,123,891","1,324,835,009"
BANK OF OKLAHOMA,"5,555,123,892","1,324,835,137"
FIRST NATIONAL BANK FREMONT,"5,555,123,893","1,324,836,061"
SECURITY NATIONAL BANK,"5,555,123,894","1,324,836,826"
THE BANK 1905,"5,555,123,895","1,324,838,965"
PAONIA STATE BANK A BRANCH OF FIRST STATE BANK OF COLORADO,"5,555,123,896","1,324,840,231"
AMTRUST BANK,"5,555,123,897","1,324,842,607"
MBT LENDING,"5,555,123,898","1,324,842,843"
THE GUARANTY BANK,"5,555,123,899","1,324,844,302"
FONDULAC BANK,"5,555,123,900","1,324,844,674"
BANK OF PLATTSBURG,"5,555,123,901","1,324,844,836"
MERRILL,"5,555,123,902","1,324,849,726"
MUTUAL FEDERAL A DIVISION OF FIRST BANK RICHMOND,"5,555,123,903","1,324,852,253"
MOUNTAIN WEST BANK,"5,555,123,904","1,324,854,456"
STAMFORD BANK AND TRUST,"5,555,123,905","1,324,858,108"
TORREY PINES BANK,"5,555,123,906","1,324,858,909"
BANK OF PLENTYWOOD,"5,555,123,907","1,324,833,849"
VECTRA BANK COLORADO,"5,555,123,908","1,324,833,880"
MERRILL LYNCH,"5,555,123,909","1,324,834,611"
BANK OF TEXAS,"5,555,123,910","1,324,835,137"
CASTLE BANK,"5,555,123,911","1,324,836,061"
SECOND NATIONAL BANK,"5,555,123,912","1,324,836,826"
OHIO SAVINGS BANK,"5,555,123,913","1,324,842,607"
FONDULAC BANKING CENTER,"5,555,123,914","1,324,844,674"
MERRILL LYNCH,"5,555,123,915","1,324,849,726"
FIRST BANK,"5,555,123,916","1,324,854,456"
INSURBANC,"5,555,123,917","1,324,858,108"
ALLIANCE ASSOCIATION BANK,"5,555,123,918","1,324,858,909"
