"NAMEHCR","RSSDHCR","RECORD_ID"
"CUMBERLAND BANCSHARES, INC.","0001139288","1,324,836,491"
"1ST JACKSON BANCSHARES, INC.","0002306993","1,324,836,498"
"EAGLE FINANCIAL SERVICES, INC.","0001951770","1,324,836,502"
FARMINGTON FINANCE CORPORATION,"0002332572","1,324,836,516"
PEOPLES BANCORP,"0001030947","1,324,836,520"
"OLYMPIC BANCORP, INC.","0002603991","1,324,836,521"
"PEOPLES BANKSHARES, INC.","0001472211","1,324,836,524"
"ALLEGHENY BANCSHARES, INC.","0003137082","1,324,836,527"
"UNION BANKSHARES, INC.","0002722892","1,324,836,531"
ATBANCORP,"0001134694","1,324,836,534"
"CITIZENS BANCSHARES OF LOYAL, INC.","0001136410","1,324,836,537"
"CITIZENS BANCSHARES OF WOODVILLE, INC.","0001129065","1,324,836,542"
"NORTHWEST WISCONSIN BANCORP, INC.","0002176105","1,324,836,543"
"SOUTHWESTERN WISCONSIN BANCSHARES, INC.","0001881699","1,324,836,546"
COMMUNITY BANCORP,"0001115040","1,324,836,602"
MIDDLEBURY NATIONAL CORPORATION,"0001136214","1,324,836,606"
FIRST HOPE BANCORP,"0003609132","1,324,836,641"
"PNC FINANCIAL SERVICES GROUP, INC., THE","0001069778","1,324,836,654"
AMBOY BANCORPORATION,"0002611718","1,324,836,672"
ABSECON BANCORP,"0002579612","1,324,836,678"
"ELMER BANCORP, INC.","0002947985","1,324,836,691"
"LIBERTY BANCSHARES, INC.","0001246579","1,324,836,724"
FIRST BANCSHARES INC.,"0001071258","1,324,836,733"
"FIRST BLANCHESTER BANCSHARES, INC.","0001859193","1,324,836,735"
"CITIZENS BANCSHARES, INC.","0003248821","1,324,836,736"
FARMERS NATIONAL BANC CORP.,"0001071191","1,324,836,744"
PEOPLES BANCORP INC.,"0001070578","1,324,836,747"
U.S. BANCORP,"0001119794","1,324,836,750"
HUNTINGTON BANCSHARES INCORPORATED,"0001068191","1,324,836,757"
"FNB, INC.","0001417267","1,324,836,768"
"COMMUNITY FIRST BANCSHARES, INC.","0002293093","1,324,836,776"
FIRST FINANCIAL BANCORP,"0001071276","1,324,836,786"
"MERCHANTS BANCORP, INC.","0002485487","1,324,836,790"
"KINGSTON BANCSHARES, INC.","0002246400","1,324,836,799"
LCNB CORP.,"0002759900","1,324,836,803"
"COMMUNITY BANCSHARES, INC.","0001070765","1,324,836,813"
"FNB SHARES, INC.","0001137891","1,324,836,814"
"CNB HOLDINGS, INC.","0002951106","1,324,836,815"
"PEOPLES BANCORP OF MT. PLEASANT, INC.","0002293909","1,324,836,823"
PARK NATIONAL CORPORATION,"0001142336","1,324,836,826"
"PEOPLES NATIONAL BANCSHARES, INC.","0002438399","1,324,836,829"
NEW RICHMOND BANCORPORATION,"0001070541","1,324,836,831"
"PANDORA BANCSHARES, INCORPORATED","0001139149","1,324,836,836"
FIFTH THIRD BANCORP,"0001070345","1,324,836,837"
SOMERVILLE BANCORP,"0005169667","1,324,836,857"
"FNB BANCSHARES, INC.","0004226693","1,324,836,860"
CENTRAL OHIO BANCORP,"0003015612","1,324,836,874"
"CNB BANCORP, INC.","0002376969","1,324,836,880"
CITIZENS FINANCIAL CORP.,"0001142970","1,324,836,906"
"FCNB BANCORP, INC.","0002355759","1,324,836,908"
"MOUNTAIN-VALLEY BANCSHARES, INC.","0001404641","1,324,836,927"
"PETERSTOWN BANCORP, INC.","0002942805","1,324,836,928"
"EASTERN BANCSHARES, INC.","0001363784","1,324,836,933"
"WEST-CENTRAL BANCORP, INC.","0001076169","1,324,836,939"
"MCNB BANKS, INC.","0002913083","1,324,836,942"
PINNACLE BANKSHARES CORPORATION,"0002534406","1,324,836,949"
"NATIONAL BANKSHARES, INC.","0001139925","1,324,836,953"
AMERICAN NATIONAL BANKSHARES INC.,"0001076691","1,324,836,964"
PARKWAY ACQUISITION CORP,"0004949303","1,324,836,978"
"CHESAPEAKE FINANCIAL SHARES, INC.","0001075881","1,324,836,979"
"POWELL VALLEY BANKSHARES, INC.","0001249271","1,324,836,980"
OLD POINT FINANCIAL CORPORATION,"0001076673","1,324,836,998"
"PIONEER BANKSHARES, INC.","0001076422","1,324,837,013"
FIRST NATIONAL CORPORATION,"0001076123","1,324,837,015"
"FAUQUIER BANKSHARES, INC.","0001076600","1,324,837,019"
"EVANS BANCORP, INC.","0001401190","1,324,837,028"
CAYUGA LAKE BANK CORPORATION,"0001249075","1,324,837,031"
"BALLSTON SPA BANCORP, INC.","0001048728","1,324,837,032"
"BRIDGE BANCORP, INC.","0001416523","1,324,837,038"
CANANDAIGUA NATIONAL CORPORATION,"0001133503","1,324,837,043"
"COMMUNITY BANK SYSTEM, INC.","0001048867","1,324,837,045"
DELHI BANK CORP.,"0002263331","1,324,837,061"
"FIRST OF LONG ISLAND CORPORATION, THE","0001048894","1,324,837,079"
ARROW FINANCIAL CORPORATION,"0001048812","1,324,837,081"
JEFFERSONVILLE BANCORP,"0001048504","1,324,837,099"
KINDERHOOK BANK CORP.,"0002589732","1,324,837,101"
"LYONS BANCORP, INC.","0001246476","1,324,837,106"
TOMPKINS FINANCIAL CORPORATION,"0002367921","1,324,837,108"
CITIGROUP INC.,"0001951350","1,324,837,125"
NBT BANCORP INC.,"0001139279","1,324,837,131"
CHAMPLAIN BANK CORPORATION,"0001138955","1,324,837,177"
MNB CORPORATION,"0002298904","1,324,837,187"
FIRST KEYSTONE CORPORATION,"0001118265","1,324,837,192"
CENTRIC FINANCIAL CORPORATION,"0001144086","1,324,837,214"
DNB FINANCIAL CORPORATION,"0001117455","1,324,837,216"
FIRST COMMONWEALTH FINANCIAL CORPORATION,"0001071306","1,324,837,218"
"FNCB BANCORP, INC.","0002560263","1,324,837,220"
"HIBSHMAN TRUST FOR EPHRATA NATIONAL BANK STOCK, THE","0001116681","1,324,837,230"
ACNB CORPORATION,"0001117464","1,324,837,237"
PEOPLES FINANCIAL SERVICES CORPORATION,"0001139541","1,324,837,242"
"HONAT BANCORP, INC.","0001144107","1,324,837,249"
"AMERISERV FINANCIAL, INC","0001117316","1,324,837,261"
FULTON FINANCIAL CORPORATION,"0001117129","1,324,837,267"
"PENNS WOODS BANCORP, INC.","0001117688","1,324,837,288"
MALVERN BANK CORPORATION,"0002409755","1,324,837,289"
"CITIZENS FINANCIAL SERVICES, INC.","0001118368","1,324,837,291"
RIVERVIEW FINANCIAL CORPORATION,"0002727495","1,324,837,294"
"JTNB BANCORP, INC.","0001406935","1,324,837,295"
FIRST COMMUNITY FINANCIAL CORPORATION,"0001132896","1,324,837,300"
JUNIATA VALLEY FINANCIAL CORP.,"0001117512","1,324,837,301"
UNB CORP,"0001249945","1,324,837,313"
"NEFFS BANCORP, INC.","0001140097","1,324,837,318"
"FNB BANCORP, INC.","0001117491","1,324,837,326"
"NEW TRIPOLI BANCORP, INC.","0001138106","1,324,837,327"
NORTHUMBERLAND BANCORP,"0002575726","1,324,837,332"
PALM BANCORP,"0001117213","1,324,837,335"
QNB CORP.,"0001118434","1,324,837,349"
TOMPKINS FINANCIAL CORPORATION,"0002367921","1,324,837,365"
UNIVEST CORPORATION OF PENNSYLVANIA,"0001116609","1,324,837,373"
"TURBOTVILLE NATIONAL BANCORP, INC.","0001142813","1,324,837,388"
CITIZENS & NORTHERN CORPORATION,"0001143623","1,324,837,395"
"CB FINANCIAL SERVICES, INC.","0003333718","1,324,837,412"
EMCLAIRE FINANCIAL CORP,"0001480944","1,324,837,418"
"FRYBURG BANKING COMPANY, INC.","0002687601","1,324,837,425"
F.N.B. CORPORATION,"0003005332","1,324,837,427"
NEXTIER INCORPORATED,"0002264404","1,324,837,430"
COMMUNITY BANKERS' CORPORATION,"0001138928","1,324,837,434"
"MARS BANCORP, INC.","0004655266","1,324,837,435"
"BANK OF NEW YORK MELLON CORPORATION, THE","0003587146","1,324,837,446"
"COCONUT GROVE BANKSHARES, INC.","0002809560","1,324,837,467"
CREWS BANKING CORPORATION,"0001081239","1,324,837,470"
"HEART OF GEORGIA BANCSHARES, INC.","0002349516","1,324,837,475"
CITIZENS BANCSHARES CORPORATION,"0001078958","1,324,837,480"
BATH STATE BANCORP,"0001249329","1,324,837,481"
MERCHANTS BANCORP,"0003530786","1,324,837,491"
CYNTHIANA BANCORPORATION,"0001134153","1,324,837,493"
"NORTH SALEM STATE BANCORPORATION, THE","0001136830","1,324,837,496"
G.S.B. FINANCIAL CORPORATION,"0001210011","1,324,837,500"
"VANDERBILT HOLDING COMPANY, INC.","0002524537","1,324,837,506"
NORTHWOOD FINANCIAL SERVICES CORPORATION,"0001204841","1,324,837,514"
"PRIMEBANK, INC.","0002700500","1,324,837,519"
"REPUBLIC BANCORP, INC.","0003333790","1,324,837,526"
"DUNMIRE AGENCY, INC., THE","0001051063","1,324,837,528"
HAZARD BANCORP,"0001357082","1,324,837,532"
JAMESTOWN BANCORP INC,"0001399804","1,324,837,533"
"MAGNOLIA BANCSHARES, INC.","0001095843","1,324,837,535"
"SECURITY BANCORP OF MAYSVILLE, INC.","0002952484","1,324,837,536"
"FIRST & PEOPLES BANCSHARES, INC.","0001363935","1,324,837,537"
"OHIO COUNTY COMMUNITY BANCSHARES, INC.","0001951127","1,324,837,541"
"HANCOCK BANCORP, INC.","0001144237","1,324,837,542"
"OWENTON BANCORP, INC.","0001096420","1,324,837,543"
"INDEPENDENCE BANCSHARES, INC.","0001118854","1,324,837,548"
COMMUNITY BANCSHARES COMPANY,"0002948254","1,324,837,551"
"SABINE BANCSHARES, INC.","0001108042","1,324,837,552"
"GUEYDAN BANCSHARES, INC.","0001084801","1,324,837,555"
ONE AMERICAN CORP.,"0001083729","1,324,837,560"
CAMBRIDGE BANCORP,"0001115013","1,324,837,562"
"CENTRAL-STATE BANCORP, INC.","0001245666","1,324,837,565"
"HONOR BANCORP, INC.","0001881680","1,324,837,568"
LAKE FINANCIAL CORPORATION,"0004764346","1,324,837,569"
"CITIZENS BANCSHARES, INC.","0001129047","1,324,837,575"
"FLAGSHIP FINANCIAL GROUP, INC.","0001128675","1,324,837,580"
"LISMORE FINANCIAL SERVICES, INC.","0001129186","1,324,837,582"
"NOBLE BANK HOLDING COMPANY, INC.","0001127548","1,324,837,583"
"TYSAN CORPORATION, THE","0001125085","1,324,837,585"
VIKING FINANCIAL CORPORATION,"0001449512","1,324,837,588"
"CEYLON BANCORPORATION, INC.","0001127173","1,324,837,589"
"HAMBURG FINANCIAL, INC.","0001128086","1,324,837,591"
"CITIZENS BANCORPORATION OF NEW ULM, INC.","0001135114","1,324,837,592"
CAPRICE CORPORATION,"0001123700","1,324,837,594"
"MIDWEST BANCSHARES, INC.","0001128705","1,324,837,595"
"DAKOTA FINANCIAL, INC.","0003615272","1,324,837,597"
"FREEPORT BANCSHARES, INC.","0001125795","1,324,837,600"
"LARCH BANCORPORATION, INC.","0001206658","1,324,837,601"
"SWANVILLE BANCSHARES, INC.","0001124622","1,324,837,607"
"COPIAH BANCSHARES, INC.","0003319972","1,324,837,615"
HOLLY SPRINGS BANCSHARES INC,"0002590644","1,324,837,616"
RIVERHILLS CAPITAL CORPORATION,"0001082786","1,324,837,617"
PLANTERS HOLDING COMPANY,"0001096484","1,324,837,618"
PYRAMID FINANCIAL CORPORATION,"0003664216","1,324,837,624"
"ADRIAN BANCSHARES, INC.","0001399505","1,324,837,627"
"JAMESMARK BANCSHARES, INC.","0002816803","1,324,837,628"
"CAIRO/MOBERLY BANCSHARES, INC.","0001096916","1,324,837,630"
"MONTGOMERY BANCORPORATION, INC.","0001119495","1,324,837,631"
"WIDMER BANCSHARES, INC.","0001917918","1,324,837,633"
"LINCOLN BANCSHARES, INC.","0001066094","1,324,837,639"
UMB FINANCIAL CORPORATION,"0001049828","1,324,837,643"
"LINCOLN COUNTY BANCORP, INC.","0001097173","1,324,837,644"
"ALTON BANCSHARES, INC.","0001491548","1,324,837,645"
"FMS BANCORP, INC.","0001491463","1,324,837,649"
"LEAD FINANCIAL GROUP, INC.","0002963501","1,324,837,650"
"BUFFALO BANCSHARES, INC.","0001143968","1,324,837,660"
"CENTURY BANCSHARES, INC.","0001095469","1,324,837,661"
"FORSYTH BANCSHARES, INC.","0001247017","1,324,837,675"
"FIRST BANCSHARES, INC.","0002484417","1,324,837,676"
FIRST CENTRAL NEBRASKA CO.,"0001051072","1,324,837,677"
"SWANTON AGENCY, INC.","0001054895","1,324,837,685"
SCHNEIDER BANCORPORATION,"0001399644","1,324,837,696"
JONES NATIONAL CORPORATION,"0001061156","1,324,837,699"
"FIRST HARVEY BANCORPORATION, INC.","0001128666","1,324,837,706"
"KODA BANCOR, INC.","0001126671","1,324,837,708"
FIRST FINANCIAL CORPORATION,"0001128040","1,324,837,709"
LINCOLN HOLDING COMPANY,"0001495788","1,324,837,711"
"2012 WATERFORD COMMERCIAL & SAVINGS BANK SHAREHOLDERS VOTING TRUST","0004452401","1,324,837,715"
FRANKLIN FINANCIAL SERVICES CORPORATION,"0001118238","1,324,837,720"
"SUSQUEHANNA COMMUNITY FINANCIAL, INC","0001985216","1,324,837,725"
"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","0001830240","1,324,837,728"
B.P.C. CORPORATION,"0001081613","1,324,837,732"
"F & M BANCSHARES, INC.","0001135806","1,324,837,736"
"FRANK P. DOYLE TRUST, ARTICLE IX","0001025998","1,324,837,751"
"CLAYTON BANCSHARES, INC.","0001095861","1,324,837,766"
"SCOTT BANCSHARES, INC.","0001206425","1,324,837,769"
BACKLUND INVESTMENT CO.,"0001095058","1,324,837,770"
"GREENFIELD BANCORPORATION, LTD","0003640407","1,324,837,776"
"FIRST STATE BANCSHARES, INC.","0002592705","1,324,837,777"
WEST IOWA BANC CORP.,"0001249187","1,324,837,780"
SLOAN STATE CORPORATION,"0001201439","1,324,837,782"
J. CARL H. BANCORPORATION,"0001135534","1,324,837,785"
"VIKING CORPORATION, THE","0001021570","1,324,837,786"
RAKE BANCORPORATION,"0001210002","1,324,837,788"
"SWISHER BANKSHARES, INC.","0001978683","1,324,837,791"
COUNTRY BANCORPORATION,"0001203910","1,324,837,793"
"READLYN BANCSHARES, INC.","0001139327","1,324,837,795"
CONCORDIA CAPITAL CORPORATION,"0002557414","1,324,837,800"
"COUSHATTA BANCSHARES, INC.","0001104530","1,324,837,804"
BANK OF ERATH HOLDING COMPANY,"0004125152","1,324,837,805"
"TENSAS BANCSHARES, INC.","0001109487","1,324,837,806"
"ST. LANDRY BANCSHARES, INC.","0001417203","1,324,837,807"
"PRAIRIE BANCSHARES, INC.","0001125058","1,324,837,808"
PROGRESSIVE GROWTH CORP.,"0001126877","1,324,837,809"
"CHEROKEE BANCSHARES, INC.","0001128228","1,324,837,810"
"WEB, INC.","0001126112","1,324,837,814"
"PERHAM STATE BANCSHARES, INC.","0001126242","1,324,837,817"
KIMBERLY LEASING CORPORATION,"0001122990","1,324,837,818"
"SAINT JOSEPH BANCSHARES ACQUISITIONS, INC.","0003348011","1,324,837,819"
GREAT SOUTHERN CAPITAL CORPORATION,"0001080568","1,324,837,823"
"MORTON BANCORP, INC.","0003073911","1,324,837,827"
"KNOTT HOLDING COMPANY, INC.","0001060047","1,324,837,830"
"GRAIN VALLEY BANCSHARES, INC.","0002858942","1,324,837,834"
GOPPERT FINANCIAL CORP.,"0001051380","1,324,837,837"
"WILDCAT BANCSHARES, INC.","0004504917","1,324,837,839"
"MARIES COUNTY BANCORP., INC.","0001099814","1,324,837,843"
"MILCO BANCORPORATION, INC.","0001118760","1,324,837,847"
"MONTROSE SAVINGS BANCSHARES, INC.","0001062694","1,324,837,854"
"BBIG HOLDINGS, LLC","0004459754","1,324,837,855"
FIRSTAND CO.,"0002684589","1,324,837,862"
JORGENSON HOLDING COMPANY,"0001122057","1,324,837,871"
"DAKOTA WESTERN BANKSHARES, INC.","0001124798","1,324,837,873"
"TOLNA BANCORP, INC.","0001135039","1,324,837,875"
"WISHEK BANCORPORATION, INC.","0001125517","1,324,837,876"
"COMMUNITY INDEPENDENT BANCORP, INC.","0001883219","1,324,837,878"
COMMERCIAL HOLDING COMPANY,"0001099382","1,324,837,884"
TOWNSEND FINANCIAL CORPORATION,"0001095807","1,324,837,885"
FB FINANCIAL CORPORATION,"0001132104","1,324,837,886"
F & M BANK CORP.,"0001076495","1,324,837,890"
COMMUNITY BANKERS TRUST CORPORATION,"0003687046","1,324,837,893"
"GALE BANK HOLDING COMPANY, INC.","0001127249","1,324,837,898"
"PORT BANCSHARES, INC.","0001208577","1,324,837,901"
AUGUSTA FINANCIAL CORPORATION,"0001122048","1,324,837,911"
"FARMERS STATE BANKSHARES, INC.","0001061996","1,324,837,914"
BANKERS CAPITAL CORPORATION,"0001051353","1,324,837,919"
"COWBOY STATE BANCORP, INC.","0002992426","1,324,837,920"
"ARVEST BANK GROUP, INC.","0001095674","1,324,837,923"
"SIGMA HOLDINGS, INC.","0004512378","1,324,837,925"
M & F FINANCIAL CORPORATION,"0001099506","1,324,837,928"
FIRST BANK CORP,"0001491360","1,324,837,930"
CRYSTAL VALLEY FINANCIAL CORPORATION,"0001210244","1,324,837,931"
"IOWA COMMUNITY BANCORP, INC.","0002791553","1,324,837,932"
WHEATLAND BANCORPORATION,"0001206014","1,324,837,933"
FMSB BANCORP,"0002072270","1,324,837,937"
CITIZENS HOLDING COMPANY,"0001203835","1,324,837,939"
"WHITTEMORE BANCSHARES, INC.","0001245611","1,324,837,940"
"KERNDT BANK SERVICES, INC.","0001203590","1,324,837,941"
SACRAMENTO BANCORP,"0001133923","1,324,837,942"
"SPRINGFIELD BANKSHARES, INC.","0001119365","1,324,837,949"
"FIRST CECILIAN BANCORP, INC.","0001928633","1,324,837,951"
"COLUMBIA BANCSHARES, INC.","0001132140","1,324,837,952"
"GENBEACH CO., INC.","0001246944","1,324,837,958"
"MANSURA BANCSHARES, INC.","0001081097","1,324,837,966"
"JACKSON BANCORP, INC.","0001131705","1,324,837,967"
"UNION BANCSHARES, INCORPORATED","0001084566","1,324,837,968"
DELMAR BANCORP,"0001249918","1,324,837,977"
"HSB BANCORP, INC.","0002876544","1,324,837,978"
PSB HOLDING CORP.,"0002496269","1,324,837,979"
"QUEENSTOWN BANCORP OF MARYLAND, INC.","0002618614","1,324,837,981"
"ADAMS BANCSHARES, INC.","0001126738","1,324,837,982"
ADRIAN BUILDING CORPORATION,"0001125254","1,324,837,983"
"EAGLE INVESTMENT COMPANY, INC.","0002565950","1,324,837,985"
TRAVERSE COUNTY INVESTMENT CORPORATION,"0001124369","1,324,837,986"
"J & B FINANCIAL HOLDINGS, INC.","0004498726","1,324,837,990"
"CURRIE BANCORPORATION, INC.","0001125151","1,324,837,992"
PEOPLES EQUITY CORPORATION,"0001125124","1,324,837,999"
CENTRAL TRUST COMPANY,"0001020920","1,324,838,001"
AMERICAN HERITAGE HOLDING COMPANY,"0004520953","1,324,838,002"
MPS INVESTMENT COMPANY,"0001121984","1,324,838,004"
CENTRAL TRUST COMPANY,"0001020920","1,324,838,007"
NORTH SHORE FINANCIAL CORPORATION,"0001136540","1,324,838,009"
"PARK FINANCIAL GROUP, INC.","0004792022","1,324,838,010"
"CHANDLER BANCSHARES, INC.","0001843688","1,324,838,017"
"REMER BANCORPORATION, INC.","0001126327","1,324,838,021"
"NEISEN BANCSHARES, INC.","0001124592","1,324,838,022"
"WEST CONCORD BANCSHARES, INC.","0001135619","1,324,838,023"
"MERCHANTS FINANCIAL GROUP, INC.","0001128769","1,324,838,024"
"FINANCIAL SERVICES OF WINGER, INC.","0001127276","1,324,838,025"
BANKFIRST CAPITAL CORPORATION,"0001247455","1,324,838,027"
STATE BANK & TRUST COMPANY EMPLOYEE STOCK OWNERSHIP PLAN,"0003131893","1,324,838,034"
"COMMUNITY BANCSHARES OF MISSISSIPPI, INC. EMPLOYEE STOCK OWNERSHIP PLAN","0002313544","1,324,838,035"
"COUNTRY BANCSHARES, INC.","0001056910","1,324,838,039"
"LINCOLN COUNTY BANCORP, INC.","0001097173","1,324,838,040"
CCB FINANCIAL CORPORATION,"0001053496","1,324,838,043"
"MIDWEST REGIONAL BANCORP, INC.","0003595020","1,324,838,044"
"MID-MISSOURI HOLDING COMPANY, INC","0002300768","1,324,838,046"
"URICH BANCORP, INC.","0001064492","1,324,838,047"
"MONTGOMERY BANCSHARES, INC.","0001100251","1,324,838,050"
"UNITY BANCSHARES, L.L.C.","0002630746","1,324,838,051"
"LINCOLN COUNTY BANCORP, INC.","0001097173","1,324,838,056"
"NODAWAY VALLEY BANCSHARES, INC.","0001066414","1,324,838,057"
BANK FORWARD EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,"0004932798","1,324,838,072"
"SARGENT BANKSHARES, INC.","0001126617","1,324,838,073"
MERCHANTS HOLDING COMPANY,"0001142206","1,324,838,074"
"SOONER SOUTHWEST BANKSHARES, INC.","0002411619","1,324,838,097"
SECURITY BANCSHARES CORPORATION,"0004414838","1,324,838,100"
MENNO HOLDING COMPANY,"0001126831","1,324,838,114"
"ROSCOE COMMUNITY BANKSHARES, INC.","0002619059","1,324,838,115"
"WESSINGTON BANKSHARES, INC.","0001123018","1,324,838,117"
"POTOMAC BANCSHARES, INC.","0002234920","1,324,838,128"
"CALHOUN BANKSHARES, INC.","0001357046","1,324,838,129"
"HARRISON BANKSHARES, INC.","0001249178","1,324,838,135"
"HEADWATERS BANCORP, INC.","0001127351","1,324,838,139"
"SECURITY BANK SHARES, INC.","0001128497","1,324,838,140"
"MOUND CITY FINANCIAL SERVICES, INC.","0002510428","1,324,838,141"
HERKY HAWK FINANCIAL CORP.,"0001245741","1,324,838,149"
"MOUNDVILLE BANCSHARES, INC.","0002317690","1,324,838,159"
PLANTERS FIRST BANCORP,"0001081136","1,324,838,164"
"HOGAN INVESTMENTS I, INC.","0002631435","1,324,838,168"
PUTNAM-GREENE FINANCIAL CORPORATION,"0001246252","1,324,838,169"
"HARVARD BANCSHARES, INC.","0001209604","1,324,838,176"
"HOLCOMB BANCORP, INC., EMPLOYEE STOCK OWNERSHIP PLAN","0002391784","1,324,838,177"
"1ST SOURCE CORPORATION","0001199602","1,324,838,182"
"SALIN BANCSHARES, INC.","0001139466","1,324,838,186"
"CORNERSTONE FINANCIAL SERVICES GROUP, INC.","0001142372","1,324,838,190"
PILOT GROVE SAVINGS BANK EMPLOYEE STOCK OWNERSHIP PLAN,"0001881532","1,324,838,191"
"SHIELDS AGENCY, INC.","0001201701","1,324,838,193"
"TRIPOLI BANCSHARES, INC.","0001141508","1,324,838,194"
WEST BEND BANCORP.,"0001916760","1,324,838,195"
YALE BANCORPORATION,"0001491810","1,324,838,196"
STATE BANK OF BOTTINEAU HOLDING COMPANY,"0001127436","1,324,838,203"
MCLEAN BANK HOLDING COMPANY,"0001126523","1,324,838,204"
"WESTERN STATE AGENCY, INC., EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST","0004247081","1,324,838,205"
WALL STREET HOLDING COMPANY,"0001966215","1,324,838,206"
HSB FINANCIAL CORP.,"0002234210","1,324,838,207"
"OSB BANCORP, INC.","0002582452","1,324,838,215"
"CSB BANCORP, INC.","0001967865","1,324,838,217"
TCB CORPORATION,"0003147625","1,324,838,223"
"WAYNE COUNTY BANCSHARES, INC.","0001084829","1,324,838,231"
"APEX BANCORP, INC.","0005009389","1,324,838,238"
"OVERTON FINANCIAL SERVICES, INC.","0002854092","1,324,838,240"
"CHESTER COUNTY BANCSHARES, INC.","0001248582","1,324,838,246"
"BRIGHTON BANCORP, INC.","0001140248","1,324,838,247"
"HOME BANCSHARES, INC.","0002525048","1,324,838,254"
CENTRAL BANCORPORATION,"0001025662","1,324,838,257"
"GB BANK GROUP, INC.","0003348897","1,324,838,279"
"LAFAYETTE BANKSHARES, INC.","0001085965","1,324,838,280"
"FARMERS STATE BANCORPORATION, INC.","0001491520","1,324,838,283"
OXFORD FINANCIAL CORPORATION,"0001248032","1,324,838,284"
"STILLMAN BANCCORP, INC.","0001210646","1,324,838,287"
"H.F. GEHANT BANCORP, INC.","0003366387","1,324,838,288"
"RUSHVILLE BANCSHARES, INC.","0001208652","1,324,838,289"
"VILLA GROVE BANCSHARES, INC.","0001203237","1,324,838,296"
"GREAT RIVER BANCSHARES, INC.","0001492527","1,324,838,297"
FIRST BERNE FINANCIAL CORPORATION,"0001133008","1,324,838,307"
"OHNWARD BANCSHARES, INC.","0001200311","1,324,838,312"
"JEMS, INC.","0001201756","1,324,838,314"
DUNN INVESTMENT CO.,"0002558484","1,324,838,317"
AMES NATIONAL CORPORATION,"0001202258","1,324,838,318"
"READLYN BANCSHARES, INC.","0001139327","1,324,838,319"
"CITIZENS BANCORP OF HICKMAN, INC.","0001099270","1,324,838,325"
COMMUNITY HOLDING COMPANY,"0001071678","1,324,838,326"
"TODD BANCSHARES, INC.","0001140574","1,324,838,328"
"COMMERCIAL BANCSHARES, INC., SAVINGS & EMPLOYEE STOCK OWNERSHIP PLAN","0002538860","1,324,838,329"
"COMMUNITY BANCSHARES, INC.","0001134283","1,324,838,332"
"LIMESTONE BANCORP, INC","0001249712","1,324,838,333"
FIRST BANK OF KENTUCKY CORPORATION,"0001071575","1,324,838,334"
"MERCHANTS & FARMERS BANCSHARES, INC.","0001084203","1,324,838,337"
"BSJ BANCSHARES, INC.","0001132382","1,324,838,340"
BLACK CAT FINANCIAL CORP,"0003723953","1,324,838,341"
"WASHINGTON STATE BANCSHARES, INC.","0001086627","1,324,838,344"
"FIRST STATE AGENCY OF LE CENTER, INC.","0001127940","1,324,838,348"
"MAPLE BANC SHARES, INC.","0001123812","1,324,838,349"
"STEARNS FINANCIAL SERVICES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","0002295837","1,324,838,352"
"CATTAIL BANCSHARES, INC.","0001133549","1,324,838,353"
"NEW YORK MILLS BANCSHARES, INC.","0001124202","1,324,838,356"
"LAKE PARK BANCSHARES, INC.","0001132793","1,324,838,366"
"HOFFMAN BANCSHARES, INC.","0001125003","1,324,838,369"
COMMERCIAL CAPITAL CORPORATION,"0001086739","1,324,838,370"
"COMMERCE BANCORP, INC","0002770660","1,324,838,372"
"PEOPLES BANCSHARES, INC.","0004189314","1,324,838,379"
"MILES BANCSHARES, INC.","0002848073","1,324,838,381"
"FAIRPORT BANCSHARES, INC.","0002224417","1,324,838,386"
"F&C BANCORP, INC.","0002168931","1,324,838,387"
"CAPITAL BANCSHARES, INC.","0001022063","1,324,838,393"
VALLEY NATIONAL BANCORP,"0001048773","1,324,838,401"
"TSB SERVICES, INC.","0001048858","1,324,838,409"
"GRANT COUNTY BANCORPORATION, INC.","0001136371","1,324,838,413"
UNION HOLDING COMPANY,"0001126372","1,324,838,415"
"CITIZENS STATE BANCSHARES, INC.","0002253060","1,324,838,417"
"CHOICE FINANCIAL HOLDINGS, INC.","0001125030","1,324,838,418"
"FIRST STATE BANCORP, INC.","0002376941","1,324,838,426"
"VICTORY BANCSHARES, INC.","0002266873","1,324,838,427"
"PSB HOLDINGS, INC.","0003213892","1,324,838,428"
HEARTLAND BANCCORP,"0001399073","1,324,838,430"
TONTI FINANCIAL CORPORATION,"0001069714","1,324,838,436"
F&M BANCORP,"0001071155","1,324,838,444"
"UNITED BANCORP, INC.","0001071502","1,324,838,445"
"GRACE INVESTMENT COMPANY, INC. ESOP, THE","0003822687","1,324,838,446"
FIRST OF GRANDFIELD CORPORATION,"0001056723","1,324,838,448"
"WELCH BANCSHARES, INC.","0001061660","1,324,838,451"
CCB FINANCIAL CORPORATION,"0001246690","1,324,838,458"
"PB BANCSHARES, INC. EMPLOYEES STOCK OWNERSHIP PLAN","0004262525","1,324,838,459"
"VOLUNTEER BANCORP, INC.","0001143203","1,324,838,467"
"SOUTHWEST VIRGINIA BANKSHARES, INC.","0001132391","1,324,838,471"
